x,y
0,0.319613794
0,0.202619566
0,-0.078085264
0,0.522179341
0,-0.181944579
0,-0.120498606
0,0.47344735
0,-0.175541481
0,0.430121791
0,0.604406348
0,0.667307976
0,0.092097955
0,0.270100916
0,0.349148586
0,0.22520883
0,0.056937754
0,0.343938001
0,0.302943688
0,0.157689614
0,0.205123199
0,0.539328278
0,0.297173805
0,0.136713357
0,0.35519034
0,0.021052829
0,0.519984828
0,0.223118282
0,0.087874239
0,0.143170537
0,0.393776959
0,0.032603853
0,0.596195966
0,1.62396944
0,-0.085938593
0,0.241643264
0,0.907252211
0,0.814207002
0,-0.151074553
0,2.131444109
0,0.432153977
0,-0.603298759
0,-0.038438974
0,0.770075343
0,1.293042648
0,1.365837335
0,1.11135175
0,0.400588106
0,1.568732494
0,1.036861343
0,0.633981354
0,-0.044162698
0,1.231733879
0,1.469567541
0,0.812296146
0,0.61097622
0,1.187900594
0,1.021985618
0,0.250421428
0,-0.492099612
0,0.037381521
0,0.967375126
0,0.681045316
0,-0.232745646
0,2.017077287
0,-0.25516986
0,-0.026000621
0,0.049058916
0,-0.892548298
0,0.380861345
0,0.283367923
0,0.297026279
0,0.377467498
0,-0.110263045
0,0.039226689
0,-0.557952641
0,-0.000770788
0,0.560958541
0,0.832736719
0,-0.742654339
0,0.05814575
0,0.090319329
0,0.504025662
0,0.962334532
0,0.450305442
0,0.055114081
0,-0.162619238
0,0.480647735
0,0.504939433
0,0.14663112
0,-0.052890103
0,-0.204738454
0,-0.390327295
0,0.023052964
0,0.161399305
0,-0.289454934
0,-0.281323722
1,0.49148463
1,0.489215007
1,-0.240976724
1,-0.031247026
1,0.467883389
1,-0.059890735
1,0.349327174
1,0.278881609
1,0.67154128
1,-0.450565159
1,1.799414339
1,-1.045475485
1,0.826559614
1,-0.215990595
1,0.100524414
1,0.315237095
1,-0.09363261
1,0.75060479
1,-0.019175578
1,0.167921464
1,0.509573724
1,0.631296222
1,0.639266013
1,-0.33238153
1,0.076534626
1,-1.097364801
1,0.348552961
1,-1.293721228
1,0.168822168
1,1.142902627
1,-0.384121601
1,-0.680222479
1,0.08769503
1,1.869216173
1,1.23861598
1,1.321315282
1,-0.432158633
1,0.314740196
1,-0.282620805
1,1.534664245
1,0.394197752
1,0.854695943
1,2.440499297
1,-0.081829781
1,0.102567245
1,1.300236413
1,0.32197901
1,0.293113294
1,-1.200460158
1,-1.232583675
1,-0.729534128
1,-0.344908344
1,1.91701669
1,0.802674037
1,1.659135644
1,1.770230045
1,0.069741793
1,-0.217767292
1,-0.845098815
1,0.621923217
1,-0.576328862
1,-0.808403147
1,-0.627063241
1,1.015991364
1,-0.450584552
1,0.804539142
1,0.772035717
1,1.189372188
1,1.313339287
1,0.774588429
1,-0.096491426
1,0.859416268
1,0.696947332
1,0.298282201
1,0.983753683
1,0.460863849
1,-0.02271022
1,0.773347279
1,-0.173969522
1,0.496742232
1,1.117239668
1,0.333860736
1,1.004532783
1,1.210897323
1,0.876482619
1,1.400837616
1,1.153755323
1,1.342415207
1,0.947071013
1,0.718376866
1,0.847353022
1,0.174255859
1,0.749754785
1,0.306037146
1,0.550490479
1,0.716699965
2,0.232519933
2,1.284524699
2,1.89781675
2,1.128149524
2,1.016437605
2,0.69872379
2,1.059646674
2,1.013301523
2,0.985762576
2,0.647853286
2,0.612670982
2,1.131197843
2,1.294958077
2,0.851754416
2,1.557988007
2,-0.422157212
2,0.796235732
2,1.346735589
