date,value
2013-01-01T05:00Z,14346.5
2013-01-02T05:00Z,80550.35
2013-01-03T05:00Z,70075.75
2013-01-04T05:00Z,54369.9
2013-01-05T05:00Z,33714.1
2013-01-07T05:00Z,132268.35
2013-01-08T05:00Z,49571.3
2013-01-09T05:00Z,70606.65
2013-01-10T05:00Z,83960.25
2013-01-11T05:00Z,108978.6
2013-01-12T05:00Z,40529.65
2013-01-14T05:00Z,83288.2
2013-01-15T05:00Z,133427.9
2013-01-16T05:00Z,38057.45
2013-01-17T05:00Z,58668.75
2013-01-18T05:00Z,76235.75
2013-01-19T05:00Z,26642.3
2013-01-21T05:00Z,54343.2
2013-01-22T05:00Z,60884.05
2013-01-23T05:00Z,83405.55
2013-01-24T05:00Z,60797.5
2013-01-25T05:00Z,96971.5
2013-01-26T05:00Z,50394.75
2013-01-28T05:00Z,85007.55
2013-01-29T05:00Z,98546.85
2013-01-30T05:00Z,83838.1
2013-01-31T05:00Z,61207
2013-02-01T05:00Z,89977.6
2013-02-02T05:00Z,43612.15
2013-02-04T05:00Z,70306.15
2013-02-05T05:00Z,41448.8
2013-02-06T05:00Z,39079.9
2013-02-07T05:00Z,41011.75
2013-02-08T05:00Z,79058.6
2013-02-09T05:00Z,58069.15
2013-02-11T05:00Z,106505.3
2013-02-12T05:00Z,38450
2013-02-13T05:00Z,36745.7
2013-02-14T05:00Z,67027.35
2013-02-15T05:00Z,30973.05
2013-02-16T05:00Z,52774.75
2013-02-18T05:00Z,71051.3
2013-02-19T05:00Z,75963.2
2013-02-20T05:00Z,88751.9
2013-02-21T05:00Z,30299
2013-02-22T05:00Z,56822.25
2013-02-23T05:00Z,38469.35
2013-02-25T05:00Z,41569.15
2013-02-26T05:00Z,85584.45
2013-02-27T05:00Z,38656.8
2013-02-28T05:00Z,60815.65
2013-03-01T05:00Z,111328.05
2013-03-02T05:00Z,43854.85
2013-03-04T05:00Z,106668.55
2013-03-05T05:00Z,57797.7
2013-03-06T05:00Z,105298.3
2013-03-07T05:00Z,99254.85
2013-03-08T05:00Z,89204.45
2013-03-09T05:00Z,43472
2013-03-11T04:00Z,102185.2
2013-03-12T04:00Z,92631.1
2013-03-13T04:00Z,60317.15
2013-03-14T04:00Z,119923.05
2013-03-15T04:00Z,90072.7
2013-03-16T04:00Z,32274.4
2013-03-18T04:00Z,36690.85
2013-03-19T04:00Z,100840.15
2013-03-20T04:00Z,86824.65
2013-03-21T04:00Z,98782.5
2013-03-22T04:00Z,53220.35
2013-03-23T04:00Z,37606.2
2013-03-25T04:00Z,85074.65
2013-03-26T04:00Z,47061.4
2013-03-27T04:00Z,119756.85
2013-03-28T04:00Z,42787.4
2013-03-29T04:00Z,45994.8
2013-03-30T04:00Z,24756.9
2013-04-01T04:00Z,97637
2013-04-02T04:00Z,65963.15
2013-04-03T04:00Z,62672.25
2013-04-04T04:00Z,118058.65
2013-04-05T04:00Z,98615.7
2013-04-06T04:00Z,23066.75
2013-04-08T04:00Z,49841.35
2013-04-09T04:00Z,73123.4
2013-04-10T04:00Z,109521.65
2013-04-11T04:00Z,62276.25
2013-04-12T04:00Z,115000.85
2013-04-13T04:00Z,34290.35
2013-04-15T04:00Z,44550.05
2013-04-16T04:00Z,118855.4
2013-04-17T04:00Z,92089.45
2013-04-18T04:00Z,77431.7
2013-04-19T04:00Z,120182.1
2013-04-20T04:00Z,53275.3
2013-04-22T04:00Z,92631.55
2013-04-23T04:00Z,96883.3
2013-04-24T04:00Z,60991.5
2013-04-25T04:00Z,37594.75
2013-04-26T04:00Z,97335.7
2013-04-27T04:00Z,69802.15
2013-04-29T04:00Z,62081.3
2013-04-30T04:00Z,78185.6
2013-05-01T04:00Z,75717.25
2013-05-02T04:00Z,123183.45
2013-05-03T04:00Z,64708.8
2013-05-04T04:00Z,58012.65
2013-05-06T04:00Z,101548.5
2013-05-07T04:00Z,58066.3
2013-05-08T04:00Z,119942.3
2013-05-09T04:00Z,124456
