2020,Country
112875,Luxembourg
89383,Ireland
68340,Switzerland
64856,Norway
57781,Denmark
57101,Netherlands
55406,Austria
54482,Iceland
53571,Germany
52477,Sweden
50114,Belgium
49334,Finland
45454,France
44288,United Kingdom
43087,Malta
40293,Czech Republic
40066,Italy
39079,Cyprus
38605,Lithuania
38506,Slovenia
38143,Spain
37033,Estonia
33739,Poland
33131,Portugal
32434,Hungary
32184,Slovakia
30579,Latvia
30141,Romania
29045,Greece
27681,Croatia
27394,Russia
23741,Bulgaria
19931,Montenegro
19759,Belarus
18840,Serbia
16609,North Macedonia
14895,Bosnia and Herzegovina
13651,Albania
13253,Moldova
12710,Ukraine
